id	title	title_source	start	end
109	Kaschira	Karl-Heinz Quade Diary	1800	2000
110	Riga	Karl-Heinz Quade Diary	1800	2000
111	Minsk	Karl-Heinz Quade Diary	1800	2000
112	Melitopol	Karl-Heinz Quade Diary	1800	2000
113	Nowoschachtinsk	Karl-Heinz Quade Diary	1800	2000
114	Kiew	Karl-Heinz Quade Diary	1800	2000
115	Atkarsk	Karl-Heinz Quade Diary	1800	2000
116	Wladimir	Karl-Heinz Quade Diary	1800	2000
117	Krasnogorsk	Karl-Heinz Quade Diary	1800	2000
118	Litauen	Karl-Heinz Quade Diary	1800	2000
119	Kineschma	Karl-Heinz Quade Diary	1800	2000
120	Wolsk	Karl-Heinz Quade Diary	1800	2000
121	WLADIMIR	Karl-Heinz Quade Diary	1800	2000
122	Jarzewo	Karl-Heinz Quade Diary	1800	2000
123	POLTAWA	Karl-Heinz Quade Diary	1800	2000
124	MOSKAU	Karl-Heinz Quade Diary	1800	2000
125	Pronja	Karl-Heinz Quade Diary	1800	2000
126	Maikop	Karl-Heinz Quade Diary	1800	2000
127	Marx	Karl-Heinz Quade Diary	1800	2000
128	Lettland	Karl-Heinz Quade Diary	1800	2000
129	KALUGA	Karl-Heinz Quade Diary	1800	2000
130	Begowat	Karl-Heinz Quade Diary	1800	2000
131	Armenien	Karl-Heinz Quade Diary	1800	2000
132	Bobruisk	Karl-Heinz Quade Diary	1800	2000
133	RSFSR	Karl-Heinz Quade Diary	1800	2000
134	Adler	Karl-Heinz Quade Diary	1800	2000
135	Nowgorod	Karl-Heinz Quade Diary	1800	2000
136	Gshatsk	Karl-Heinz Quade Diary	1800	2000
137	Russland	Karl-Heinz Quade Diary	1800	2000
138	SARATOW	Karl-Heinz Quade Diary	1800	2000
139	LWOW	Karl-Heinz Quade Diary	1800	2000
140	Potma	Karl-Heinz Quade Diary	1800	2000
141	Rshew	Karl-Heinz Quade Diary	1800	2000
142	TASCHKENT	Karl-Heinz Quade Diary	1800	2000
143	Kyschtym	Karl-Heinz Quade Diary	1800	2000
144	Pensa	Karl-Heinz Quade Diary	1800	2000
145	STALINGRAD	Karl-Heinz Quade Diary	1800	2000
146	ARCHANGELSK	Karl-Heinz Quade Diary	1800	2000
147	Tiraspol	Karl-Heinz Quade Diary	1800	2000
