,place_name,frequency
23,Irene,4
10,Tennessee,4
6,Mississippi,3
1,Illinois,3
12,Tallahatchie River,3
5,Chicago,2
3,Memphis,2
4,Leland,2
13,Delta,2
11,Rome,2
0,New Orleans,2
9,Texas,2
8,Koo,2
2,Jordan,1
7,Westminster,1
15,Galilee,1
16,likeOh,1
17,Mexico,1
18,Houston,1
19,Feelin,1
20,noYou,1
21,Cousin,1
22,Savannah,1
14,Hot Springs,1
