,place_name,frequency
10,Tennessee,4
1,Illinois,3
12,Tallahatchie River,3
0,New Orleans,2
3,Memphis,2
4,Leland,2
6,Mississippi,2
8,Koo,2
9,Texas,2
11,Rome,2
13,Delta,2
2,Jordan,1
5,Chicago,1
7,Westminster,1
