,Unnamed: 0,place_name,frequency,Lat,Long
0,6,America,37,39.7837304,-100.445882
1,3,Hawaii,30,19.593801499999998,-155.42837009716908
2,32,Santa,20,23.356377,116.6775918
3,21,California,14,36.7014631,-118.755997
4,9,U.S.A.,11,22.312927,114.0429595
5,23,New York City,6,40.7127281,-74.0060152
6,61,Caroline,4,38.0320305,-77.362363
7,37,Denny,4,56.0237411,-3.9081978
8,27,Honolulu,4,21.304547,-157.855676
9,33,Santa Claus,4,32.1715776,-82.3315138
10,51,Salt Lake City,3,40.7596198,-111.8867975
11,44,L.A.,3,13.206211249999999,120.61296587037387
12,34,Santa's,3,40.9711879,-5.6654147
13,7,U.S.A,3,22.312927,114.0429595
14,42,La,3,34.0536909,-118.242766
15,43,L.A,2,13.206211249999999,120.61296587037387
16,20,South Bay,2,26.6639559,-80.7161701
17,35,Santa (Not Santa,2,,
18,24,Detroit,2,42.3315509,-83.0466403
19,19,Oooo,2,45.3197733,7.8998098346601076
20,41,Rome,2,41.8933203,12.4829321
21,18,Revving,2,4.8831332,114.8574513
22,50,Salt Lake,2,40.6632297,-111.9103124
23,57,Dit,2,11.2442048,120.9326016
24,40,Europe,1,51.0,10.0
25,54,Midwest,1,43.411391,-106.280075
26,60,Rocky,1,-14.7277778,144.7758333
27,59,offa,1,8.1560008,4.7227435
28,58,Dooo,1,46.849558599999995,29.657898606943725
29,56,The West Coast,1,53.5265333,-113.4884667
30,55,Northern,1,-16.403889749999998,179.04897
31,53,East Coast,1,-38.1532287,178.1367523749267
32,49,Utah,1,39.4225192,-111.714358
33,45,New York,1,40.7127281,-74.0060152
34,46,USA,1,39.7837304,-100.445882
35,52,Lagoon,1,40.98557525,-111.8923380684904
36,47,Salisbury,1,51.0690613,-1.7954134
37,48,Euclid Beach,1,41.5840376,-81.56888486274661
38,0,Malibu,1,34.035591,-118.689423
39,31,Hawthorne California,1,33.9188589,-118.3483256
40,39,Paris,1,48.8588897,2.3200410217200766
41,15,La Jolla,1,32.8401623,-117.2740777
42,2,Doheny,1,47.0713044,-72.597531
43,4,Peru,1,-6.8699697,-75.0458515
44,5,Nicky,1,-17.75367005,-63.1599492
45,8,Del Mar,1,32.9594891,-117.2653146
46,10,Ventura County,1,34.4458248,-119.0779359
47,11,Santa Cruz,1,28.469648,-16.2540884
48,12,Australia,1,-24.7761086,134.755
49,13,Manhattan,1,40.7896239,-73.9598939
50,14,San Onofre,1,9.7386264,-75.5234228
51,16,Wa'imea Bay,1,,
52,38,Ahhhhhh,1,,
53,17,Sea,1,37.5666791,126.9782914
54,22,Chicago,1,41.8755616,-87.6244212
55,25,Miami,1,25.7741728,-80.19362
56,26,Alabama,1,33.2588817,-86.8295337
57,28,loveYou,1,,
58,29,Jamaica,1,18.1850507,-77.3947693
59,30,Lean,1,37.0836786,118.4025334
60,1,Laguna,1,14.1696476,121.3336526
61,36,Orient,1,21.82707225,83.90998722276453
62,62,noYou,1,,
